Algorithm,Query3W,Query7W,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19W,Query20W
HASH_JOIN,908.2477133366666,2028.5661706133337,1534.4843793900006,5808.55962168,536.61140237,186.08141205846312,195.617361885091,86.16312103056023,57.54163085776749,324.49560035802375,1356.5757325299999,253.83809324951284,114.72995101092192
TTJHP,818.9398844000002,2076.520566596667,649.5927299866667,3735.06467886,511.0573307950001,187.67934970624015,140.1451025844991,82.90275838256156,56.10714684623553,342.13175335685725,1259.3406349,236.14616912172022,112.95168552111456
YannakakisB,1067.68512634,1238.730697305,955.6239527500001,3381.6054065999992,644.1201679549999,230.51861936750367,260.2384853777778,188.9446290037879,73.34846016434801,1135.9393129833331,1515.67880497,511.2705773447552,122.06260424971406
YannakakisVanilla,1432.61455892,1579.2128984933333,1156.8540287133335,16973.725445440003,1156.0548989233334,320.0205741242857,686.064077325,251.78317508667456,60.607985913673346,1356.1028661900002,2232.0192072199998,633.2836512634243,226.2568270353334
PTO,1656.5372709900005,3570.127285209999,2320.2309311999998,5150.511394760001,913.4917653733334,341.14959142307146,511.28567582599993,246.89723533499998,80.5855385064185,1158.56727484,2453.38088194,743.6945997054365,236.98233615333322
Yannakakis,1420.8259926599994,1550.8255474800003,1171.54870587,4255.141905580001,807.4308788866666,328.94735265604754,334.13880200838094,224.73622178811104,74.47440610084614,1272.15804137,2126.515151950001,600.6375469514946,122.40575773119282
YannakakisB perf improv over HJ,-0.17554397403061062,0.3893565242042503,0.37723448632961215,0.4178237589266678,-0.2003475235713896,-0.23880519186451177,-0.3303445198828843,-1.1928712277817006,-0.2747024905437969,-2.5006308613430326,-0.11728285316093237,-1.0141601711536512,-0.06391228423076803
YannakakisVanilla perf improv over HJ,-0.5773390209339978,0.221512750547417,0.2460959236527292,-1.922191825678587,-1.1543614127793353,-0.7197879712119851,-2.50717375346267,-1.9221686967139038,-0.053289331744616954,-3.179110178054123,-0.6453332856377334,-1.49483299829601,-0.9720816146238438
Yannakakis perf improv over HJ,-0.5643595593984522,0.235506551402703,0.23651962730586898,0.26743595956250293,-0.5046845358122551,-0.7677604066799469,-0.7081244670125949,-1.6082646392115005,-0.2942699918417921,-2.920416917722144,-0.567560955836997,-1.3662230489617317,-0.0669032510921249
TTJHP perf improv over HJ,0.0983298142404043,-0.023639552250264633,0.5766703534350103,0.3569723094656445,0.04762118632242558,-0.00858730396604573,0.28357533690275016,0.03783942142534849,0.02492949869769493,-0.05434943641570211,0.0716768664648434,0.06969767185574528,0.015499575081646136
PTO perf improv over HJ,-0.8238826772316464,-0.7599264628033193,-0.5120590097648011,0.11328939871149554,-0.7023338701689941,-0.8333351389008644,-1.6137029499781208,-1.8654630006662682,-0.40047366237518345,-2.5703635844730255,-0.8085100765914999,-1.9297990312841424,-1.06556643723114
